symbol,earnings_date_et,earnings_time,source_name,source_url_or_file_name,source_published_at_utc,known_at_utc,revision_status,source_calendar_coverage_start_date_et,source_calendar_coverage_end_date_et
UNH,2024-04-16,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/731766/000073176624000146/unh-20240416.htm,2024-04-16T10:01:51Z,2024-04-16T10:01:51Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
UNH,2024-07-16,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/731766/000073176624000242/unh-20240716.htm,2024-07-16T10:01:27Z,2024-07-16T10:01:27Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
XOM,2021-10-29,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/34088/000003408821000061/xom-20211029.htm,2021-10-29T11:30:10Z,2021-10-29T11:30:10Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
XOM,2022-02-01,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/34088/000003408822000005/xom-20220201.htm,2022-02-01T12:25:00Z,2022-02-01T12:25:00Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
XOM,2022-04-29,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/34088/000003408822000023/xom-20220429.htm,2022-04-29T10:02:06Z,2022-04-29T10:02:06Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
XOM,2022-07-29,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/34088/000003408822000048/xom-20220729.htm,2022-07-29T10:31:59Z,2022-07-29T10:31:59Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
XOM,2022-10-28,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/34088/000003408822000057/xom-20221028.htm,2022-10-28T10:32:12Z,2022-10-28T10:32:12Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
XOM,2023-01-31,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/34088/000003408823000011/xom-20230131.htm,2023-01-31T11:32:51Z,2023-01-31T11:32:51Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
XOM,2023-04-28,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/34088/000003408823000028/xom-20230428.htm,2023-04-28T10:32:24Z,2023-04-28T10:32:24Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
XOM,2023-07-28,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/34088/000003408823000046/xom-20230728.htm,2023-07-28T10:32:19Z,2023-07-28T10:32:19Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
XOM,2023-10-27,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/34088/000003408823000054/xom-20231027.htm,2023-10-27T10:31:48Z,2023-10-27T10:31:48Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
XOM,2024-02-02,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/34088/000003408824000007/xom-20240202.htm,2024-02-02T11:31:50Z,2024-02-02T11:31:50Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
XOM,2024-04-26,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/34088/000003408824000025/xom-20240426.htm,2024-04-26T10:31:49Z,2024-04-26T10:31:49Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
